-::inverter..2%2111832953203%212 kW13433283203%320 kW14233363203%435 kW17113731203%550 kW19477027203%135505320203%212 kW37105650203%320 kW37905730203%435 kW41106130203%152550 kW1008015160203%,,,,,,
,,,,,2,
,,,,,,
,,,,,,
,,,,,,
1,,1183.0,2953.0,20.0,3%,
2,12 kW,1343.0,3283.0,20.0,3%,
3,20 kW,1423.0,3363.0,20.0,3%,
4,35 kW,1711.0,3731.0,20.0,3%,
5,50 kW,1947.0,7027.0,20.0,3%,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
1,,3550.0,5320.0,20.0,3%,
2,12 kW,3710.0,5650.0,20.0,3%,
3,20 kW,3790.0,5730.0,20.0,3%,
4,35 kW,4110.0,6130.0,20.0,3%,
5,50 kW,10080.0,15160.0,20.0,3%,
