"-:Ecodesign,.2%.116902500202%470kW220 kW24203630202%480335 kW31504760202%550450 kW53207980202%550139506050202%470kW220 kW45206770202%480335 kW52407980202%550450 kW1282019350202%550146",,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
1,kW,1690.0,2500.0,20.0,2%,470.0
2,20 kW,2420.0,3630.0,20.0,2%,480.0
3,35 kW,3150.0,4760.0,20.0,2%,550.0
4,50 kW,5320.0,7980.0,20.0,2%,550.0
,,,,,,
,,,,,,
,,,,,,
1,kW,3950.0,6050.0,20.0,2%,470.0
2,20 kW,4520.0,6770.0,20.0,2%,480.0
3,35 kW,5240.0,7980.0,20.0,2%,550.0
4,50 kW,12820.0,19350.0,20.0,2%,550.0
